# Coverage register — a recorded reason for every gap the audit tolerates.
#
# Columns:  file <TAB> what <TAB> category <TAB> reason
#   "what" is a method name, or the source text of a partially-covered condition.
#   It is deliberately NOT a line number: lines move, and a register keyed on them
#   goes stale on the first unrelated commit and silently stops matching.
#
# Categories in use:
#   tier:integration     needs Docker; a test tier covers it, the hermetic gate cannot
#   tier:ml              needs a trained model artifact
#   tier:live            needs the network or a plugin jar on disk
#   terminal             needs a real TTY (JLine raw mode / keystroke dispatch)
#   framework-override   an @Override this codebase never calls; a framework does
#   entry-point          a process entry point, covered by the packaging smoke tests
#   unreachable          no supported input reaches it — the reason must say *why*
#
# A row here is a claim that the gap is not worth closing, and it is reviewed like
# any other claim. "Hard to reach" is not a reason; "the grammar cannot express it"
# is. Adding a row to silence the audit without a reason that survives reading is
# the one thing this file is meant to prevent.
relix-connectors-std/src/main/java/com/darkcollective/relix/connectors/std/DriverProvisioner.java	isEnabled	tier:live	downloads a driver over the network or loads a plugin jar from disk; the live tier owns this and is itself blocked on #686
relix-connectors-std/src/main/java/com/darkcollective/relix/connectors/std/HttpFetcher.java	lambda$https$0	tier:live	downloads a driver over the network or loads a plugin jar from disk; the live tier owns this and is itself blocked on #686
relix-connectors-std/src/main/java/com/darkcollective/relix/connectors/std/RelixDriverLoader.java	lambda$jarsIn$2	tier:live	downloads a driver over the network or loads a plugin jar from disk; the live tier owns this and is itself blocked on #686
relix-mongo-connector/src/main/java/com/darkcollective/relix/mongo/DocumentSource.java	close	tier:integration	MongoConnector/MongoDocumentSource are covered by the Docker container suite; the hermetic gate cannot start a MongoDB
relix-mongo-connector/src/main/java/com/darkcollective/relix/mongo/MongoDocumentSource.java	aggregate	tier:integration	MongoConnector/MongoDocumentSource are covered by the Docker container suite; the hermetic gate cannot start a MongoDB
relix-mongo-connector/src/main/java/com/darkcollective/relix/mongo/MongoDocumentSource.java	documents	tier:integration	MongoConnector/MongoDocumentSource are covered by the Docker container suite; the hermetic gate cannot start a MongoDB
relix-mongo-connector/src/main/java/com/darkcollective/relix/mongo/MongoDocumentSource.java	lambda$aggregate$0	tier:integration	MongoConnector/MongoDocumentSource are covered by the Docker container suite; the hermetic gate cannot start a MongoDB
relix-mongo-connector/src/main/java/com/darkcollective/relix/mongo/MongoDocumentSource.java	lambda$documents$0	tier:integration	MongoConnector/MongoDocumentSource are covered by the Docker container suite; the hermetic gate cannot start a MongoDB
relix-mongo-connector/src/main/java/com/darkcollective/relix/mongo/MongoDocumentSource.java	lambda$run$0	tier:integration	MongoConnector/MongoDocumentSource are covered by the Docker container suite; the hermetic gate cannot start a MongoDB
relix-processor/src/main/java/com/darkcollective/relix/processor/connector/ConnectorPluginLoader.java	lambda$jarsIn$2	tier:live	downloads a driver over the network or loads a plugin jar from disk; the live tier owns this and is itself blocked on #686
relix-processor/src/main/java/com/darkcollective/relix/processor/connector/ConnectorProvisioner.java	if (location.startsWith("http://") || location.startsWith("https://")) {	tier:live	downloads a driver over the network or loads a plugin jar from disk; the live tier owns this and is itself blocked on #686
relix-processor/src/main/java/com/darkcollective/relix/processor/connector/ConnectorProvisioner.java	isEnabled	tier:live	downloads a driver over the network or loads a plugin jar from disk; the live tier owns this and is itself blocked on #686
relix-processor/src/main/java/com/darkcollective/relix/processor/connector/DriverDownloader.java	if (Files.isRegularFile(target) && sha256(Files.readAllBytes(target)).equals(expected)) {	tier:live	downloads a driver over the network or loads a plugin jar from disk; the live tier owns this and is itself blocked on #686
relix-optimizer/src/main/java/com/darkcollective/relix/optimizer/OperandSimplifier.java	&& !(inner.left() instanceof NumberOperand)) {	unreachable	EXPR-001 has already folded it. accumulateConstants has one caller, simplifyBinary, which passes it children that are ALREADY simplified; outerOp is restricted to PLUS/MULTIPLY and inner.operator() == outerOp, so the inner is never the DIVIDE that EXPR-001 declines to fold. An inner with two numeric-literal children therefore cannot survive to reach this guard — it was folded to a single NumberOperand on the way in, and `left instanceof BinaryArithmeticExpression` then fails one line earlier.
relix-optimizer/src/main/java/com/darkcollective/relix/optimizer/OperandSimplifier.java	&& !(inner.right() instanceof NumberOperand)) {	unreachable	The mirror of the guard above, unreachable for the same reason: EXPR-001 folds two adjacent numeric literals under a commutative operator before accumulateConstants is ever reached, so the inner expression cannot hold two of them.
relix-plan/src/main/java/com/darkcollective/relix/plan/MongoPushdownPlanner.java	if (node.outer() || node.ordinalityColumn().isPresent()) {	unreachable	The OUTER arm has no surface syntax: docs/reference/operators/unnest.md records the OUTER variant of μ as programmatic-only, so no script can produce an UnnestNode with outer=true. The ordinality half of the same condition IS reachable and is covered by MongoPushdownPlannerTest.ordinalityUnnestIsNotPushed.
relix-plan/src/main/java/com/darkcollective/relix/plan/SqlPushdownPlanner.java	if (p.projectionApplied || p.sortApplied || p.limitApplied	unreachable	topK()'s clause-order guard sits below a `!node.groupingAttributes().isEmpty()` bail, and the grammar REQUIRES the PER clause (docs/reference/advanced/top.md), so every written TOP bails before reaching it. The empty-PER TopKNode that gets here is built only by LimitPushdownPass when a λ folds over a τ — an optimizer-produced shape this text-driven pushdown harness does not run. PlannerTest is where it would arrive.
relix-plan/src/main/java/com/darkcollective/relix/plan/SqlPushdownPlanner.java	&& IDENTIFIER.matcher(left.alias).matches()	unreachable	The alias is always a declared source name, and the grammar cannot produce a non-identifier one. base() sets `alias = node.name()` only after sources.get(name) found a declaration, and parseSourceDeclaration takes its name from requireName(), which accepts an IDENTIFIER or a keyword-used-as-identifier — both lexed as a word, the same character class this pattern tests. Backtick-delimited names belong to the expression grammar and are rejected in a source declaration. Kept as belt-and-braces: the alias is emitted unquoted into the FROM clause, so the check is cheap insurance against a future name rule that admits more.
